Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
0,-81,-89,-96,-95,-69
1,-80,-90,-86,-94,-76
2,-82,-84,-93,-95,-70
3,-88,-90,-90,-94,-76
4,-79,-92,-92,-96,-68
5,-82,-90,-92,-92,-77
6,-84,-91,-93,-92,-69
7,-81,-88,-95,-92,-77
8,-81,-88,-93,-91,-72
9,-80,-84,-95,-94,-76
10,-81,-84,-90,-91,-77
11,-81,-87,-86,-89,-77
12,-80,-86,-93,-93,-70
13,-79,-83,-88,-90,-72
14,-82,-83,-92,-92,-72
15,-80,-84,-90,-91,-77
16,-82,-83,-93,-92,-77
17,-81,-85,-91,-92,-71
18,-81,-85,-91,-95,-79
19,-83,-84,-89,-92,-76
20,-79,-86,-88,-93,-70
21,-82,-86,-97,-95,-76
22,-82,-85,-93,-91,-71
23,-83,-84,-90,-91,-71
24,-81,-87,-90,-93,-77
25,-80,-101,-84,-93,-69
26,-81,-92,-95,-90,-72
27,-81,-86,-91,-90,-69
28,-81,-97,-93,-92,-72
29,-81,-83,-90,99,-77
30,-82,-94,-86,-90,-72
31,-80,-86,-93,-93,-69
32,-81,-83,-84,-91,-69
33,-79,-86,-94,-90,-77
34,-81,-83,-94,-91,-72
35,-82,-93,-94,-92,-69
36,-81,-86,-91,-90,-72
37,-81,-83,-92,-91,-69
38,-80,-85,-94,-92,-72
39,-79,-84,-86,-94,-77
40,-81,-84,-94,-91,-72
41,-81,-87,-95,-90,-69
42,-81,-84,-89,-91,-69
43,-80,-86,-89,-91,-77
44,-82,-84,-90,-91,-72
45,-81,-83,-84,-91,-71
46,-82,-88,-91,-92,-77
47,-81,-84,-85,-92,-70
48,-80,-83,-84,-92,-72
49,-81,-85,-85,-94,-69
50,-82,-84,-93,-92,-71
51,-81,-85,-92,-90,-77
52,-82,-86,-97,-92,-69
53,-81,-84,-92,-92,-70
54,-81,-87,-94,-93,-77
55,-80,-87,-93,-91,-76
56,-81,-87,-91,-92,-72
57,-82,-86,-93,-92,-76
58,-81,-85,-93,-92,-72
59,-81,-85,-92,-95,-77
60,-81,-84,-89,-93,-68
61,-81,-87,-85,-92,-78
62,-81,-84,-91,-92,-70
63,-81,-84,-85,-91,-77
64,-81,-84,-92,-94,-69
65,-81,-89,-84,-93,-69
66,-81,-84,-91,-90,-69
67,-80,-83,-93,-93,-77
68,-81,-87,-91,-92,-69
69,-81,-84,-91,-93,-77
70,-79,-85,-94,-93,-69
71,-82,-83,-84,-93,-77
72,-81,-83,-90,-93,-77
73,-79,-86,-87,-91,-77
74,-81,-85,99,-91,-69
75,-81,-85,-86,-92,-70
76,-82,-86,-96,-94,-71
77,-81,-84,-84,-93,-78
78,-81,-83,-91,-91,-69
79,-82,-85,-94,-93,-77
80,-81,-84,-93,-92,-70
81,-82,-84,-94,-91,-71
82,-82,-85,-93,-97,-72
83,-82,-85,-94,-93,-72
84,-80,-85,-86,-96,-71
85,-81,-84,-90,-92,-78
86,-82,-85,-84,-91,-69
87,-80,-87,-91,-92,-77
88,-81,-88,-95,-91,-78
89,-82,-88,-90,-90,-73
90,-81,-87,-90,-94,-71
91,-81,-85,-85,-90,-72
92,-83,-85,-90,-94,-73
93,-82,-86,-93,-93,-71
94,-82,-84,-92,-91,-72
95,-82,-86,-92,-93,-78
96,-81,-83,-84,-94,-78
97,-80,-83,-93,-92,-68
98,-81,-90,-92,-91,-73
99,-81,-86,-86,-91,-77
100,-79,-84,-93,-91,-77
101,-81,-86,-87,-92,-76
102,-83,-85,-91,-92,-68
103,-81,-85,-85,-94,-68
104,-82,-84,-88,-92,-77
105,-80,-95,-94,-91,-77
106,-80,-86,-92,-92,-69
107,-82,-83,-94,-91,-69
108,-81,-86,-92,-94,-75
109,-81,-88,-93,-92,-76
110,-81,-84,-92,-97,-72
111,-79,-83,-89,-88,-77
112,-82,-87,-88,-91,-72
113,-82,-85,-95,-94,-76
114,-80,-84,-93,-90,-77
115,-81,-84,-88,-94,-70
116,-82,-87,-88,-91,-77
117,-80,-87,-88,-92,-77
118,-81,-84,-93,-93,-77
119,-81,-84,-93,-93,-77
120,-81,-85,-94,-92,-77
121,-81,-85,-90,-90,-76
122,-81,-85,-92,-92,-69
123,-82,-87,-84,-95,-72
124,-81,-87,-93,-91,-72
125,-81,-85,-91,-93,-71
126,-81,-84,-84,-92,-72
127,-81,-87,-93,-94,-69
128,-81,-87,-84,-93,-72
129,-81,-85,-92,-93,-77
130,-82,-84,-94,-92,-77
131,-80,-88,-86,-91,-69
132,-80,-83,-89,-91,-77
133,-81,-83,-93,-92,-76
134,-81,-87,-94,-93,-77
135,-82,-83,-92,-90,-77
136,-80,-87,-94,-94,-77
137,-81,-85,-93,-93,-77
138,-81,-88,-96,-91,-72
139,-81,-85,-93,-94,-77
140,-80,-87,-92,-93,-73
141,-81,-85,-93,-93,-69
142,-81,-87,-86,-92,-72
143,-82,-85,-92,-93,-69
144,-81,-89,-90,-92,-69
145,-82,-86,-94,-93,-72
146,-81,-86,-92,-94,-70
147,-82,-86,-88,-93,-77
148,-79,-85,-91,-93,-71
149,-80,-86,-91,-91,-77
150,-79,-87,-88,-97,-76
151,-83,-87,-91,-93,-72
152,-81,-86,-94,-92,-69
153,-80,-84,-86,-94,-69
154,-81,-83,-93,-92,-77
155,-81,-85,-95,-92,-77
156,-80,-82,-91,-93,-72
157,-81,-85,-85,-90,-72
158,-81,-87,-93,-94,-77
159,-81,-87,-90,-91,-72
160,-82,-87,-86,-91,-72
161,-80,-83,-93,-92,-77
162,-81,-87,-93,-91,-76
163,-80,-85,-85,-92,-77
164,-79,-87,-85,-90,-69
165,-81,-86,-93,-93,-72
166,-82,-87,-93,-92,-72
167,-82,-84,-89,-91,-72
168,-81,-83,-90,-91,-77
169,-81,-87,-93,-90,-71
170,-79,-86,-95,-93,-70
171,-80,-85,-92,-97,-69
172,-80,-84,-93,-92,-72
173,-81,-86,-92,-91,-72
174,-82,-88,-90,-94,-77
175,-81,-84,-92,-90,-77
176,-82,-85,-92,-92,-77
177,-81,-83,-88,-96,-72
178,-81,-86,-88,-93,-72
179,-82,-86,-86,-93,-77
180,-79,-84,-94,-91,-77
181,-81,-84,-96,-90,-71
182,-82,-85,-93,-92,-73
183,-80,-84,-84,-98,-69
184,-80,-86,-93,-91,-69
185,-79,-86,-88,-93,-72
186,-80,-84,-93,-95,-72
187,-81,-84,-90,-90,-77
188,-81,-85,-84,-92,-77
189,-82,-83,-89,-92,-72
190,-82,-87,-94,-91,-72
191,-81,-86,-84,-92,-77
192,-80,-84,-94,-91,-72
193,-81,-83,-84,-92,-72
194,-79,-84,-92,-89,-78
195,-80,-86,-87,-94,-77
196,-82,-84,-93,-91,-69
197,-82,-83,-84,-92,-69
198,-82,-83,-95,-91,-72
199,-82,-87,-87,-93,-76
200,-81,-85,-93,-92,-78
201,-82,-84,-87,-92,-77
202,-81,-83,-93,-90,-77
203,-82,-85,-87,-92,-78
204,-81,-87,-94,-93,-69
205,-81,-84,-84,-92,-77
206,-82,-87,-89,-94,-73
207,-80,-84,-83,-90,-68
208,-80,-84,-83,-92,-69
209,-81,-87,-92,-90,-79
210,-82,-84,-89,-94,-69
211,-79,-82,-86,-91,-72
212,-82,-83,-93,-93,-77
213,-80,-84,-83,-93,-73
214,-82,-85,-91,-89,-78
215,-81,-87,-93,-91,-78
216,-82,-84,-92,-93,-69
217,-80,-85,-89,-92,-72
218,-81,-86,-91,-92,-78
219,99,-85,-96,-93,-77
220,-81,-87,-96,-94,-72
221,-79,-84,-92,-92,-69
222,-81,-84,-91,-91,-78
223,-82,-83,-87,-94,-72
224,-81,-86,-95,-98,-78
225,-79,-86,-92,-95,-72
226,-80,-84,-88,-90,-68
227,-83,-86,-92,-94,-72
228,-82,-86,-84,-89,-70
229,-81,-86,-93,-92,-72
230,-81,-85,-88,-90,-78
231,-80,-85,-90,-90,-70
232,-81,-84,-92,-91,-73
233,-81,-84,-93,-96,-69
234,-81,-85,-85,-90,-78
235,-80,-87,-91,-93,-69
236,-83,-84,-84,-93,-70
237,-83,-85,-91,-94,-77
238,-82,-86,-92,-92,-77
239,-84,-87,-84,-93,-72
240,-91,-83,-92,-93,-77
241,-82,99,-91,-96,-78
242,-80,-87,-84,-91,-70
243,-82,-84,-86,-92,-78
244,-83,-85,-91,-92,-73
245,-81,-84,-90,-92,-78
246,-82,-85,-94,-91,-72
247,-79,-83,-88,-93,-78
248,-82,-86,-91,-92,-72
249,-81,-86,-93,-93,-69
