Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
0,-79,-91,-89,-95,-89
1,-82,-92,-90,-94,-91
2,-82,-92,-91,-93,-89
3,-83,-90,-91,-93,-88
4,-85,-89,-91,-93,-89
5,-86,-89,-92,-93,-88
6,-84,-88,-91,-92,-87
7,-82,-87,-90,-94,-87
8,-82,-89,-91,-93,-86
9,-82,-89,-90,-92,-86
10,-81,-90,-90,-92,-87
11,-82,-89,-90,-93,-89
12,-81,-88,-91,-95,-91
13,-81,-88,-92,-94,-89
14,-82,-89,-91,-93,-88
15,-81,-90,-92,-92,-91
16,-81,-92,-93,-93,-93
17,-81,-91,-94,-93,-92
18,-81,-91,-94,-94,-92
19,-81,-89,-94,-93,-90
20,-81,-89,-96,-94,-92
21,-80,-88,-93,-94,-93
22,-80,-87,-91,-94,-92
23,-80,-86,-92,-93,-93
24,-80,-88,-91,-94,-93
25,-80,-88,-90,-92,-91
26,-80,-87,-90,-93,-93
27,-79,-86,-91,-93,-91
28,-80,-88,-91,-93,-91
29,-80,-88,-91,-92,-91
30,-80,-88,-92,-94,-89
31,-80,-90,-93,-93,-88
32,-80,-88,-93,-94,-90
33,-81,-89,-94,-94,-91
34,-81,-90,-96,-95,-89
35,-80,-90,-97,-94,-88
36,-80,-91,-96,-94,-88
37,-81,-92,-95,-94,-88
38,-81,-93,-93,-92,-87
39,-81,-92,-94,-92,-87
40,-81,-93,-92,-93,-90
41,-81,-92,-92,-93,-91
42,-82,-93,-92,-93,-91
43,-82,-92,-92,-93,-90
44,-81,-92,-93,-93,-92
45,-81,-91,-91,-92,-92
46,-81,-92,-92,-93,-93
47,-82,-92,-91,-93,-93
48,-82,-92,-90,-94,-90
49,-81,-92,-90,-94,-91
50,-81,-91,-89,-93,-89
51,-80,-92,-89,-93,-91
52,-81,-92,-89,-93,-92
53,-80,-89,-92,-92,-90
54,-80,-88,-92,-93,-91
55,-80,-88,-92,-93,-90
56,-80,-90,-92,-94,-89
57,-80,-89,-91,-93,-91
58,-80,-88,-91,-93,-92
59,-80,-90,-91,-93,-92
60,-80,-89,-90,-93,-93
61,-80,-89,-91,-94,-93
62,-81,-87,-89,-93,-92
63,-80,-89,-92,-91,-94
64,-80,-90,-91,-91,-92
65,-80,-89,-90,-92,-89
66,-80,-90,-92,-91,-88
67,-80,-90,-93,-93,-90
68,-80,-91,-93,-92,-89
69,-80,-92,-94,-94,-91
70,-80,-93,-94,-94,-92
71,-80,-91,-94,-93,-92
72,-81,-92,-92,-94,-94
73,-81,-90,-92,-93,-92
74,-81,-90,-91,-93,-90
75,-81,-91,-93,-95,-89
76,-81,-91,-93,-94,-91
77,-82,-93,-94,-95,-92
78,-82,-91,-93,-93,-90
79,-82,-91,-92,-95,-91
80,-81,-90,-90,-93,-92
81,-81,-89,-91,-92,-90
82,-80,-90,-93,-92,-89
83,-80,-91,-92,-92,-90
84,-80,-92,-91,-93,-88
85,-80,-91,-91,-92,-88
86,-81,-91,-92,-92,-87
87,-81,-90,-92,-92,-90
88,-81,-90,-92,-93,-92
89,-81,-90,-92,-94,-90
90,-81,-91,-93,-95,-91
91,-81,-91,-92,-94,-92
92,-81,-91,-92,-92,-93
93,-80,-91,-92,-93,-90
94,-80,-91,-92,-93,-93
95,-79,-89,-93,-92,-93
96,-79,-89,-93,-92,-93
97,-79,-87,-93,-93,-95
98,-79,-88,-93,-94,-92
99,-79,-88,-92,-93,-93
100,-80,-90,-91,-93,-91
101,-79,-91,-90,-93,-90
102,-79,-91,-90,-92,-91
103,-79,-89,-90,-92,-91
104,-79,-90,-91,,-91
105,-80,-90,-90,-90,-92
106,-80,-89,-90,-90,-91
107,-80,-90,-92,-90,-92
108,-81,-89,-92,-89,-93
109,-80,-90,-92,-90,-90
110,-81,-90,-92,-90,-91
111,-80,-89,-92,-91,-92
112,-80,-89,-92,-91,-91
113,-81,-90,-91,-91,-91
114,-81,-88,-93,-90,-91
115,-81,-89,-93,-91,-90
116,-81,-90,-91,-92,-90
117,-81,-91,-91,-91,-91
118,-81,-89,-92,-93,-90
119,-81,-88,-92,-91,-91
120,-81,-90,-92,-92,-89
121,-81,-89,-91,-91,-91
122,-80,-91,-92,-92,-91
123,-81,-89,-94,-94,-90
124,-80,-90,-93,-95,-89
125,-80,-91,-92,-93,-90
126,-79,-91,-91,-93,-89
127,-80,-89,-94,,-88
128,-81,-90,-95,-94,-89
129,-81,-92,-95,-93,-90
130,-80,-93,-95,-93,-89
131,-80,-93,-94,-93,-88
132,-80,-91,-93,-94,-89
133,-81,-91,-93,-94,-88
134,-81,-89,-92,-93,-90
135,-81,-90,-91,-92,-88
136,-81,-91,-91,-93,-87
137,-81,-89,-92,-93,-87
138,-81,-91,-92,-92,-87
139,-81,-93,-90,-92,-89
140,-81,-91,-90,-93,-88
141,-81,-91,-91,-94,-89
142,-81,-90,-90,-93,-90
143,-81,-91,-90,-93,-89
144,-81,-90,-91,-93,-88
145,-81,-90,-92,-92,-91
146,-80,-90,-91,-92,-92
147,-80,-91,-91,-91,-93
148,-80,-89,-90,-91,-94
149,-80,-90,-91,-91,-94
150,-80,-91,-91,-93,-92
151,-80,-90,-90,-94,-90
152,-80,-93,-89,-95,-91
153,-80,-92,-89,-94,-92
154,-80,-89,-90,-93,-91
155,-81,-90,-91,-93,-89
156,-81,-89,-92,-93,-88
157,-80,-90,-93,-92,-90
158,-81,-90,-92,-93,-91
159,-81,-91,-91,-93,-92
160,-81,-90,-89,-94,-90
161,-81,-88,-90,-94,-92
162,-81,-89,-90,-94,-90
163,-82,-89,-92,-93,-91
164,-82,-90,-91,-94,-92
165,-82,-88,-90,-95,-93
166,-81,-89,-91,-95,-91
167,-81,-88,-91,-95,-89
168,-81,-88,-92,-94,-88
169,-81,-88,-91,-94,-88
170,-81,-87,-92,-94,-89
171,-81,-86,-91,-93,-88
172,-81,-89,-92,-93,-88
173,-81,-90,-90,-94,-90
174,-81,-90,-90,-94,-91
175,-81,-91,-90,-94,-92
176,-81,-90,-92,-93,-92
177,-81,-92,-91,-93,-92
178,-81,-91,-94,-91,-91
179,-81,-91,-93,-93,-89
180,-81,-91,-91,-92,-90
181,-81,-89,-92,-93,-89
182,-81,-90,-93,-92,-90
183,-81,-90,-92,-92,-92
184,-81,-90,-93,-93,-90
185,-81,-89,-94,-93,-91
186,-82,-90,-94,-93,-91
187,-81,-90,-94,-94,-92
188,-81,-90,-94,-94,-90
189,-80,-90,-92,-94,-88
190,-81,-90,-93,-95,-90
191,-81,-88,-92,-95,-91
192,-81,-90,-91,-95,-94
193,-81,-90,-90,-94,-94
194,-80,-89,-92,-94,-94
195,-81,-89,-91,-94,-94
196,-81,-89,-91,-94,-93
197,-81,-88,-92,-94,-93
198,-82,-88,-93,-94,-92
199,-81,-89,-95,-95,-90
200,-81,-90,-94,-95,-92
201,-81,-89,-96,-94,-92
202,-80,-89,-93,-93,-90
203,-81,-90,-94,-93,-90
204,-81,-88,-93,-93,-91
205,-81,-90,-92,-95,-92
206,-81,-89,-92,-96,-89
207,-80,-89,-92,-96,-90
208,-81,-88,-92,-94,-91
209,-80,-89,-94,-94,-91
210,-81,-89,-93,-94,-89
211,-81,-88,-93,-94,-90
212,-81,-87,-93,-94,-89
213,-81,-87,-93,-93,-90
214,-81,-86,-92,-92,-91
215,-81,-86,-91,-94,-92
216,-80,-86,-90,-94,-92
217,-81,-86,-90,-94,-93
218,-81,-87,-92,-94,-94
219,-81,-87,-92,-93,-91
220,-80,-87,-94,-93,-89
221,-80,-88,-94,-93,-90
222,-80,-87,-94,,-91
223,-80,-88,-94,-93,-90
224,-81,-88,-92,-94,-92
225,-81,-88,-92,-93,-93
226,-81,-89,-92,-92,-90
227,-81,-89,-93,-92,-89
228,-80,-89,-93,-92,-88
229,-81,-89,-94,-93,-87
230,-80,-87,-93,-92,-87
231,-80,-90,-93,-92,-87
232,-80,-89,-94,-93,-89
233,-81,-87,-94,-93,-91
234,-81,-86,-93,-93,-89
235,-81,-86,-92,-93,-89
236,-81,-87,-92,-92,-88
237,-81,-88,-92,-92,-87
238,-81,-88,-93,-92,-87
239,-81,-88,-93,-91,-86
240,-81,-87,-92,-92,-88
241,-81,-89,-92,-93,-91
242,-81,-88,-93,-93,-89
243,-81,-87,-93,-92,-88
244,-81,-87,-93,-92,-87
245,-81,-87,-92,-91,-86
246,-80,-86,-92,-92,-86
247,-79,-87,-90,-92,-86
248,-79,-89,-90,-92,-88
249,-79,-89,-91,-91,-88
