Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
0,-75,-80,-81,-84,-87
1,-74,-79,-81,-82,-86
2,-73,-79,-80,-80,-87
3,-73,-79,-80,-83,-85
4,-73,-80,-80,-85,-85
5,-73,-80,-80,-86,-86
6,-73,-79,-80,-86,-86
7,-73,-80,-79,-84,-86
8,-73,-80,-79,-82,-86
9,-73,-80,-79,-80,-86
10,-73,-79,-79,-84,-86
11,-72,-78,-79,-82,-86
12,-72,-78,-79,-81,-86
13,-72,-78,-79,-82,-86
14,-73,-79,-79,-81,-86
15,-73,-79,-79,-80,-87
16,-72,-78,-79,-80,-87
17,-72,-78,-79,-81,-87
18,-72,-78,-80,-82,-87
19,-72,-78,-80,-85,-87
20,-72,-79,-80,-85,-85
21,-72,-80,-80,-82,-84
22,-72,-79,-79,-81,-85
23,-72,-80,-79,-82,-86
24,-73,-80,-79,-83,-84
25,-73,-80,-79,-83,-85
26,-74,-79,-79,-82,-86
27,-74,-79,-79,-83,-87
28,-74,-79,-79,-85,-87
29,-73,-79,-79,-84,-87
30,-73,-78,-79,-84,-86
31,-73,-79,-79,-84,-86
32,-72,-80,-79,-83,-87
33,-73,-79,-79,-82,-85
34,-73,-79,-80,-83,-83
35,-73,-79,-79,-82,-84
36,-73,-80,-79,-81,-86
37,-73,-79,-79,-82,-85
38,-73,-79,-79,-85,-85
39,-73,-80,-79,-87,-86
40,-74,-80,-78,-89,-84
41,-74,-79,-78,-86,-85
42,-74,-78,-78,-88,-84
43,-74,-78,-78,-86,-85
44,-74,-79,-79,-84,-86
45,-74,-79,-79,-84,-87
46,-73,-79,-79,-84,-87
47,-73,-78,-79,-87,-87
48,-73,-79,-79,-88,-85
49,-73,-80,-78,-87,-84
50,-73,-79,-78,-85,-83
51,-73,-79,-79,-85,-84
52,-73,-79,-79,-85,-85
53,-73,-79,-79,-85,-86
54,-74,-79,-79,-83,-87
55,-74,-79,-79,-83,-87
56,-75,-80,-79,-82,-87
57,-74,-80,-79,-84,-85
58,-74,-80,-79,-83,-86
59,-73,-80,-79,-86,-86
60,-73,-80,-80,-86,-87
61,-73,-80,-79,-84,-87
62,-73,-80,-79,-84,-87
63,-72,-80,-79,-87,-87
64,-72,-80,-79,-88,-89
65,-71,-80,-79,-87,-86
66,-71,-80,-80,-88,-86
67,-72,-80,-80,-87,-86
68,-73,-80,-80,-88,-87
69,-73,-80,-80,-86,-87
70,-73,-80,-80,-88,-85
71,-72,-80,-80,-87,-85
72,-72,-80,-80,-85,-86
73,-72,-79,-80,-84,-86
74,-72,-79,-80,-87,-85
75,-72,-80,-81,-84,-85
76,-72,-79,-80,-84,-83
77,-72,-79,-80,-84,-83
78,-73,-79,-79,-82,-82
79,-72,-79,-79,-81,-84
80,-73,-79,-79,-80,-85
81,-73,-79,-79,-80,-84
82,-72,-79,-79,-80,-85
83,-73,-79,-80,-84,-86
84,-72,-79,-79,-82,-87
85,-72,-79,-79,-82,-86
86,-72,-78,-80,-82,-84
87,-72,-78,-80,-83,-83
88,-72,-78,-79,-83,-84
89,-73,-79,-79,-85,-85
90,-73,-78,-79,-83,-85
91,-72,-79,-79,-83,-85
92,-73,-80,-80,-85,-85
93,-72,-81,-80,-84,-86
94,-72,-80,-79,-83,-86
95,-72,-80,-78,-82,-86
96,-72,-80,-79,-84,-86
97,-72,-79,-79,-84,-85
98,-72,-79,-78,-84,-86
