Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
0,-81,-85,-82,-88,-92
1,-78,-83,-82,-88,-92
2,-76,-82,-82,-87,-91
3,-75,-81,-83,-88,-92
4,-77,-78,-83,-89,-92
5,-78,-77,-83,-89,-93
6,-79,-76,-83,-89,-93
7,-80,-78,-84,-88,-93
8,-80,-80,-85,-88,-93
9,-80,-80,-85,-88,-92
10,-81,-81,-86,-89,-91
11,-81,-81,-86,-89,-90
12,-81,-78,-85,-89,
13,-81,-77,-85,-89,
14,-78,-76,-86,-89,-90
15,-79,-75,-86,-89,-91
16,-79,-74,-86,-89,-89
17,-77,-74,-85,-91,
18,-78,-78,-86,-90,-89
19,-79,-80,-85,-89,-90
20,-80,-78,-84,-89,-90
21,-81,,-84,-89,-89
22,-78,-79,-85,-90,-90
23,-79,-81,-84,-89,-90
24,-77,-80,-85,-90,-90
25,-78,-78,-85,-91,-90
26,-79,-76,-86,-89,-90
27,-80,-79,-85,-91,-90
28,-80,-80,-85,-91,-91
29,-81,-84,-84,-90,-90
30,-81,,-85,-91,-91
31,-81,-88,-84,-91,-91
32,-81,-88,-83,-89,-91
33,-81,-85,-83,-88,-92
34,-81,-84,-83,-89,-90
35,-81,-83,-83,-89,-90
36,-78,-82,-83,-89,-90
37,-79,-82,-83,-89,-91
38,-76,-83,-83,-91,-90
39,-75,-84,-84,-90,-90
40,-74,-84,-85,-90,-89
41,-76,-85,-85,-90,-89
42,-78,-85,-85,-91,-89
43,-79,-85,-86,-93,-90
44,-80,-85,-86,-91,-89
45,-77,-85,-85,-90,-90
46,-76,-81,-84,-89,-91
47,-78,-83,-84,-89,-90
48,-76,-83,-84,-88,-91
49,-78,,-85,-90,-90
50,-79,-85,-86,-90,-90
51,-79,-85,-85,-89,-89
52,-80,-81,-84,-89,-90
53,-77,-81,-85,-89,-90
54,-78,-81,-85,-89,-90
55,-76,-79,-84,-91,-91
56,-78,-77,-85,-91,-90
57,-79,-80,-85,-91,-90
58,-80,-78,-86,-91,-90
59,-80,-79,-85,-89,-90
60,-81,-80,-84,-89,-90
61,-81,-80,-84,-88,-90
62,-81,-78,-84,-89,-90
63,-81,-81,-85,-92,-89
64,-78,-81,-84,-91,-89
65,-80,-79,-84,-91,-89
66,-80,-79,-84,-89,-89
67,-81,-80,-84,-90,-91
68,-81,-80,-85,-89,-90
69,-78,-80,-84,-88,-89
70,-79,-82,-85,-90,-89
71,-80,-83,-85,-89,-91
72,-80,-84,-84,-90,-92
73,-80,-83,-84,-89,-91
74,-81,-84,-84,-90,-91
75,-81,-80,-83,-90,-90
76,-81,-80,-85,-89,-90
77,-81,-78,-85,-89,-90
78,-81,-77,-87,-89,-90
79,-78,-76,-86,-91,-90
80,-79,-79,-85,-90,
81,-77,-77,-84,-89,-92
82,-78,-79,-84,-89,-92
83,-79,-80,-84,-89,-91
84,-80,-81,-84,-87,-91
85,-77,-79,-84,-87,-90
86,-75,-80,-85,-88,-89
87,-77,-81,-85,-87,-90
88,-75,-81,-84,-88,-91
89,-74,-80,-84,-86,-90
90,-77,-81,-85,-88,-90
91,-78,-82,-86,-88,-89
92,-79,-82,-85,-89,-89
93,-76,-83,-84,-89,-91
94,-78,-83,-86,-89,-90
95,-76,-84,-84,-87,-90
96,-74,-84,-84,-88,-91
97,-76,-81,-84,-88,-90
98,-78,-78,-83,-89,-90
99,-79,-79,-83,-88,-90
100,-79,-81,-83,-90,-91
101,-77,-81,-83,-90,-94
102,-78,-83,-83,-90,-93
103,-76,-82,-83,-88,-93
104,-77,-83,-84,-88,-91
105,-78,-82,-84,-87,-91
106,-79,-82,-84,-87,-89
107,-80,-83,-85,-88,-89
108,-80,-82,-86,-89,-89
109,-80,-82,-86,-87,-89
110,-80,-82,-87,-88,-89
111,-77,-83,-86,-89,-90
112,-78,-80,-85,-87,-90
113,-79,-80,-86,-89,-90
114,-77,-82,-84,-88,-92
115,-78,-79,-85,-88,-90
116,-79,-79,-85,-87,-91
117,-80,-77,-84,-88,-90
118,-80,-80,-84,-89,-90
119,-80,-80,-86,-89,-89
120,-77,-80,-85,-89,-89
121,-78,-82,-84,-89,-89
122,-79,-83,-84,-90,-90
123,-77,-83,-85,-90,-90
124,-78,-83,-86,-89,-90
125,-79,-84,-85,-89,-89
126,-76,-84,-85,-89,-89
127,-78,-83,-84,-90,-88
128,-79,-84,-85,-89,-89
129,-76,-80,-85,-88,-89
130,-75,-81,-84,-89,-90
131,-77,-82,-85,-90,-91
132,-75,-83,-86,-89,-91
133,-74,-79,-86,-89,-91
134,-73,-81,-85,-89,-90
135,-76,-83,-85,-88,-90
136,-78,-80,-86,-90,-89
137,-76,-80,-85,-88,-89
138,-78,-78,-85,-89,-88
139,-79,-77,-85,-89,-89
140,-80,-76,-86,-89,-90
141,-80,-75,-85,-89,-90
142,-81,-77,-85,-90,-90
143,-78,-79,-86,-87,-89
144,-76,-81,-87,-89,-90
145,-78,-81,-86,-87,-90
146,-76,-83,-85,-85,-90
147,-75,-82,-86,-87,-89
148,-73,-79,-85,-89,-89
149,-76,-80,-84,-87,-89
150,-77,-78,-84,-88,-89
151,-75,-79,-84,-88,-89
152,-77,-80,-85,-89,-90
153,-75,-78,-86,-89,-90
154,-77,-80,-86,-90,-90
155,-78,-82,-85,-90,-91
156,-79,-82,-84,-90,-91
157,-79,-81,-84,-90,-91
158,-80,-83,-85,-89,-90
159,-80,-83,-84,-88,-92
160,-77,-82,-83,-89,-90
161,-78,-83,-84,-87,-90
