Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
0,-69,-81,-89,-96,-95
1,-76,-80,-90,-86,-94
2,-70,-82,-84,-93,-95
3,-76,-88,-90,-90,-94
4,-68,-79,-92,-92,-96
5,-77,-82,-90,-92,-92
6,-69,-84,-91,-93,-92
7,-77,-81,-88,-95,-92
8,-72,-81,-88,-93,-91
9,-76,-80,-84,-95,-94
10,-77,-81,-84,-90,-91
11,-77,-81,-87,-86,-89
12,-70,-80,-86,-93,-93
13,-72,-79,-83,-88,-90
14,-72,-82,-83,-92,-92
15,-77,-80,-84,-90,-91
16,-77,-82,-83,-93,-92
17,-71,-81,-85,-91,-92
18,-79,-81,-85,-91,-95
19,-76,-83,-84,-89,-92
20,-70,-79,-86,-88,-93
21,-76,-82,-86,-97,-95
22,-71,-82,-85,-93,-91
23,-71,-83,-84,-90,-91
24,-77,-81,-87,-90,-93
25,-69,-80,-101,-84,-93
26,-72,-81,-92,-95,-90
27,-69,-81,-86,-91,-90
28,-72,-81,-97,-93,-92
29,-77,-81,-83,-90,
30,-72,-82,-94,-86,-90
31,-69,-80,-86,-93,-93
32,-69,-81,-83,-84,-91
33,-77,-79,-86,-94,-90
34,-72,-81,-83,-94,-91
35,-69,-82,-93,-94,-92
36,-72,-81,-86,-91,-90
37,-69,-81,-83,-92,-91
38,-72,-80,-85,-94,-92
39,-77,-79,-84,-86,-94
40,-72,-81,-84,-94,-91
41,-69,-81,-87,-95,-90
42,-69,-81,-84,-89,-91
43,-77,-80,-86,-89,-91
44,-72,-82,-84,-90,-91
45,-71,-81,-83,-84,-91
46,-77,-82,-88,-91,-92
47,-70,-81,-84,-85,-92
48,-72,-80,-83,-84,-92
49,-69,-81,-85,-85,-94
50,-71,-82,-84,-93,-92
51,-77,-81,-85,-92,-90
52,-69,-82,-86,-97,-92
53,-70,-81,-84,-92,-92
54,-77,-81,-87,-94,-93
55,-76,-80,-87,-93,-91
56,-72,-81,-87,-91,-92
57,-76,-82,-86,-93,-92
58,-72,-81,-85,-93,-92
59,-77,-81,-85,-92,-95
60,-68,-81,-84,-89,-93
61,-78,-81,-87,-85,-92
62,-70,-81,-84,-91,-92
63,-77,-81,-84,-85,-91
64,-69,-81,-84,-92,-94
65,-69,-81,-89,-84,-93
66,-69,-81,-84,-91,-90
67,-77,-80,-83,-93,-93
68,-69,-81,-87,-91,-92
69,-77,-81,-84,-91,-93
70,-69,-79,-85,-94,-93
71,-77,-82,-83,-84,-93
72,-77,-81,-83,-90,-93
73,-77,-79,-86,-87,-91
74,-69,-81,-85,,-91
75,-70,-81,-85,-86,-92
76,-71,-82,-86,-96,-94
77,-78,-81,-84,-84,-93
78,-69,-81,-83,-91,-91
79,-77,-82,-85,-94,-93
80,-70,-81,-84,-93,-92
81,-71,-82,-84,-94,-91
82,-72,-82,-85,-93,-97
83,-72,-82,-85,-94,-93
84,-71,-80,-85,-86,-96
85,-78,-81,-84,-90,-92
86,-69,-82,-85,-84,-91
87,-77,-80,-87,-91,-92
88,-78,-81,-88,-95,-91
89,-73,-82,-88,-90,-90
90,-71,-81,-87,-90,-94
91,-72,-81,-85,-85,-90
92,-73,-83,-85,-90,-94
93,-71,-82,-86,-93,-93
94,-72,-82,-84,-92,-91
95,-78,-82,-86,-92,-93
96,-78,-81,-83,-84,-94
97,-68,-80,-83,-93,-92
98,-73,-81,-90,-92,-91
99,-77,-81,-86,-86,-91
100,-77,-79,-84,-93,-91
101,-76,-81,-86,-87,-92
102,-68,-83,-85,-91,-92
103,-68,-81,-85,-85,-94
104,-77,-82,-84,-88,-92
105,-77,-80,-95,-94,-91
106,-69,-80,-86,-92,-92
107,-69,-82,-83,-94,-91
108,-75,-81,-86,-92,-94
109,-76,-81,-88,-93,-92
110,-72,-81,-84,-92,-97
111,-77,-79,-83,-89,-88
112,-72,-82,-87,-88,-91
113,-76,-82,-85,-95,-94
114,-77,-80,-84,-93,-90
115,-70,-81,-84,-88,-94
116,-77,-82,-87,-88,-91
117,-77,-80,-87,-88,-92
118,-77,-81,-84,-93,-93
119,-77,-81,-84,-93,-93
120,-77,-81,-85,-94,-92
121,-76,-81,-85,-90,-90
122,-69,-81,-85,-92,-92
123,-72,-82,-87,-84,-95
124,-72,-81,-87,-93,-91
125,-71,-81,-85,-91,-93
126,-72,-81,-84,-84,-92
127,-69,-81,-87,-93,-94
128,-72,-81,-87,-84,-93
129,-77,-81,-85,-92,-93
130,-77,-82,-84,-94,-92
131,-69,-80,-88,-86,-91
132,-77,-80,-83,-89,-91
133,-76,-81,-83,-93,-92
134,-77,-81,-87,-94,-93
135,-77,-82,-83,-92,-90
136,-77,-80,-87,-94,-94
137,-77,-81,-85,-93,-93
138,-72,-81,-88,-96,-91
139,-77,-81,-85,-93,-94
140,-73,-80,-87,-92,-93
141,-69,-81,-85,-93,-93
142,-72,-81,-87,-86,-92
143,-69,-82,-85,-92,-93
144,-69,-81,-89,-90,-92
145,-72,-82,-86,-94,-93
146,-70,-81,-86,-92,-94
147,-77,-82,-86,-88,-93
148,-71,-79,-85,-91,-93
149,-77,-80,-86,-91,-91
150,-76,-79,-87,-88,-97
151,-72,-83,-87,-91,-93
152,-69,-81,-86,-94,-92
153,-69,-80,-84,-86,-94
154,-77,-81,-83,-93,-92
155,-77,-81,-85,-95,-92
156,-72,-80,-82,-91,-93
157,-72,-81,-85,-85,-90
158,-77,-81,-87,-93,-94
159,-72,-81,-87,-90,-91
160,-72,-82,-87,-86,-91
161,-77,-80,-83,-93,-92
162,-76,-81,-87,-93,-91
163,-77,-80,-85,-85,-92
164,-69,-79,-87,-85,-90
165,-72,-81,-86,-93,-93
166,-72,-82,-87,-93,-92
167,-72,-82,-84,-89,-91
168,-77,-81,-83,-90,-91
169,-71,-81,-87,-93,-90
170,-70,-79,-86,-95,-93
171,-69,-80,-85,-92,-97
172,-72,-80,-84,-93,-92
173,-72,-81,-86,-92,-91
174,-77,-82,-88,-90,-94
175,-77,-81,-84,-92,-90
176,-77,-82,-85,-92,-92
177,-72,-81,-83,-88,-96
