Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
0,-79,-85,-95,-92,-94
1,-79,-86,-93,-90,-93
2,-79,-86,-93,-91,-92
3,-78,-87,-91,-91,-91
4,-78,-87,-90,,-90
5,-78,-87,-90,-92,-91
6,-77,-87,-89,-91,-91
7,-78,-87,-89,,-90
8,-79,-86,-91,-91,-89
9,-78,-86,-92,-91,-91
10,-78,-86,-91,-93,-89
11,-77,-85,-91,-93,-89
12,-78,-86,-92,-92,-89
13,-78,-86,-91,,-88
14,-78,-85,-91,-93,-90
15,-78,-85,-90,-92,-89
16,-78,-86,-90,,-90
17,-78,-86,-90,,-91
18,-78,-86,-91,,-91
19,-77,-86,-92,-92,-90
20,-78,-86,-92,-91,-91
21,-77,-85,-92,,-90
22,-78,-86,-92,-90,-91
23,-78,-87,-92,-91,-90
24,-78,-87,-92,-91,-90
25,-77,-87,-92,-92,-90
26,-78,-87,-91,-93,-89
27,-79,-86,-91,,-89
28,-78,-86,-92,-91,-89
29,-78,-86,-92,-91,-91
30,-77,-86,-91,-92,-90
31,-78,-86,-91,-92,-90
32,-78,-87,-91,,-90
33,-78,-86,-92,-92,-89
34,-79,-86,-92,-93,-89
35,-78,-86,-92,,-89
36,-79,-87,-92,,-89
37,-79,-86,-92,,-89
38,-79,-86,-92,,-89
39,-78,-86,-91,,-89
40,-77,-86,-91,-94,-89
41,-78,-86,-92,-93,-88
42,-78,-86,-93,-92,-91
43,-79,-87,-92,,-92
44,-79,-87,-91,-91,-92
45,-78,-86,-93,-91,-91
46,-77,-85,-91,-91,-90
47,-78,-86,-91,-91,-91
48,-78,-87,-93,-91,-90
49,-78,-86,-92,-90,-91
50,-78,-86,-91,-90,-89
51,-79,-86,-91,-90,-89
52,-78,-86,-92,-91,-91
53,-78,-85,-92,-91,-91
54,-78,-86,-92,-91,-90
55,-79,-85,-92,-91,-90
56,-79,-85,-91,-91,-90
57,-78,-86,-92,-90,-91
58,-77,-86,-92,-91,-91
59,-77,-86,-91,-91,-91
60,-77,-85,-91,-91,-90
61,-77,-85,-91,-91,-90
62,-77,-85,-91,-91,-91
63,-77,-86,-90,-90,-91
64,-76,-86,-91,-90,-91
65,-76,-87,-92,-90,-91
66,-76,-86,-91,-91,-91
67,-77,-86,-91,-91,-90
68,-78,-86,-90,-91,-90
69,-78,-86,-91,-92,-90
70,-78,-86,-91,-93,-91
71,-77,-87,-90,-92,-91
72,-78,-88,-90,-92,-91
73,-78,-86,-90,-91,-90
74,-78,-87,-91,-91,-90
75,-78,-87,-91,-91,-89
76,-78,-86,-90,-91,-92
77,-78,-87,-91,-92,-92
78,-79,-87,-91,-93,-90
79,-78,-86,-91,-93,-90
80,-77,-87,-90,-92,-90
81,-78,-87,-90,-92,-91
82,-78,-87,-90,-92,-91
83,-79,-87,-90,-91,-90
84,-79,-87,-90,-91,-90
85,-79,-87,-90,-91,-90
86,-78,-87,-90,-92,-89
87,-78,-86,-91,-91,-88
88,-77,-86,-92,-91,-88
89,-78,-86,-92,-92,-89
90,-78,-86,-92,-92,-90
91,-78,-85,-92,-92,-89
92,-77,-86,-92,-91,-89
93,-77,-86,-93,-92,-89
94,-77,-86,-92,-91,-89
95,-77,-86,-91,-92,-89
96,-77,-86,-90,-91,-89
97,-77,-86,-91,-91,-89
98,-76,-86,-93,-92,-91
99,-76,-86,-92,-92,-90
100,-76,-86,-91,-91,-90
101,-76,-87,-90,-91,-89
102,-77,-87,-91,-91,-90
103,-77,-86,-92,-91,-93
104,-78,-86,-92,-91,-92
105,-78,-86,-91,-91,-91
106,-77,-87,-92,-91,-91
107,-78,-87,-92,-91,-91
108,-78,-86,-92,-91,-91
109,-78,-86,-92,-92,-90
110,-78,-87,-92,-92,-92
111,-78,-87,-92,-92,-91
112,-78,-87,-92,-92,-91
113,-79,-87,-93,-92,-93
114,-78,-87,-93,-92,-92
115,-77,-87,-93,-91,-92
116,-77,-86,-93,-91,
117,-78,-86,-93,-91,-92
118,-78,-86,-92,-92,-92
119,-78,-87,-91,-93,-91
120,-79,-87,-92,-93,-90
121,-78,-87,-92,-91,-90
122,-79,-87,-92,-91,-89
123,-79,-87,-91,-91,-89
124,-79,-87,-92,-91,-89
125,-79,-87,-92,-91,-91
126,-78,-87,-92,,-90
127,-79,-87,-92,-91,-90
128,-78,-86,-91,-91,-90
129,-77,-86,-91,-90,-90
130,-77,-86,-92,-90,-89
131,-78,-86,-91,-90,-89
132,-79,-86,-91,-92,-89
133,-79,-86,-91,-91,-88
134,-78,-86,-93,-91,-89
135,-78,-85,-93,-92,-89
136,-78,-86,-93,-92,-89
137,-79,-86,-93,-92,-89
138,-78,-86,-92,-92,-91
139,-78,-85,-92,-92,-90
140,-78,-86,-92,-92,-91
141,-78,-86,-91,-91,-90
142,-77,-86,-91,-91,-90
143,-78,-86,-91,-91,-91
144,-79,-86,-91,-91,-91
145,-78,-86,-91,-91,-91
146,-77,-86,-91,-90,-90
147,-78,-86,-91,-91,-91
148,-78,-86,-92,-92,-90
149,-78,-87,-92,-92,-90
150,-78,-86,-92,-91,-90
151,-78,-85,-92,-92,-90
152,-78,-85,-92,-92,-90
153,-78,-85,-91,-92,-90
154,-78,-85,-91,-91,-90
155,-77,-85,-92,-91,-91
156,-77,-85,-91,-91,-90
157,-77,-86,-91,-91,-90
158,-78,-86,-92,-91,-90
159,-78,-85,-92,-91,-89
160,-78,-86,-92,-91,-89
161,-78,-86,-92,-91,-91
162,-78,-86,-92,-91,-90
163,-77,-86,-91,-90,-90
164,-77,-87,-90,-90,-90
165,-77,-85,-89,-91,-92
166,-77,-86,-89,-92,-91
167,-77,-86,-90,-93,-90
168,-77,-85,-90,-92,-90
169,-78,-86,-91,-91,-91
170,-78,-86,-91,-91,-91
171,-77,-87,-90,-92,-90
172,-77,-87,-92,-92,-90
173,-77,-87,-92,-92,-90
174,-78,-87,-92,-91,-90
175,-78,-87,-91,-91,-89
176,-79,-87,-90,-91,-89
177,-79,-87,-90,-91,-88
178,-79,-87,-91,-91,-88
179,-78,-86,-91,-91,-89
180,-79,-87,-91,-91,-90
181,-78,-86,-90,-91,-90
182,-78,-85,-90,-91,-90
183,-79,-85,-90,-90,
184,-77,-86,-90,-90,-91
185,-77,-86,-90,-91,-89
186,-78,-86,-90,-91,-90
187,-78,-86,-90,-91,-89
188,-78,-86,-90,-91,-90
189,-78,-85,-91,-92,-91
190,-78,-85,-91,-92,-91
191,-77,-86,-91,-91,-91
192,-77,-85,-91,-92,-91
193,-77,-86,-92,-92,-90
194,-77,-86,-92,-92,-92
195,-77,-85,-91,-91,-92
196,-77,-85,-90,-92,-91
197,-77,-85,-90,-91,-90
198,-77,-85,-90,-91,-90
199,-77,-86,-90,-91,-89
200,-78,-86,-90,-91,-89
201,-78,-86,-90,-91,-89
202,-78,-86,-89,-91,-89
203,-79,-87,-89,-92,-90
204,-78,-87,-90,-92,-91
205,-78,-87,-91,-91,-91
206,-78,-87,-92,-91,-90
207,-77,-86,-91,-90,-90
208,-78,-86,-91,-90,-89
209,-78,-86,-91,-91,-90
210,-78,-86,-90,-92,-90
211,-77,-87,-90,-93,-91
212,-78,-86,-89,-91,-91
213,-78,-86,-90,-91,-90
214,-78,-85,-91,-90,-90
215,-78,-85,-91,-90,-89
216,-78,-85,-90,-91,-89
217,-78,-86,-92,-91,-88
218,-78,-86,-92,-91,-89
219,-77,-86,-91,-91,-89
220,-77,-86,-91,-91,-88
221,-77,-86,-90,-92,-89
222,-78,-86,-89,-92,-89
223,-77,-86,-88,-93,-89
224,-78,-85,-89,-92,-90
225,-78,-85,-90,-91,-89
226,-78,-85,-91,-91,-91
227,-78,-86,-91,-91,-90
228,-77,-86,-91,-91,-92
229,-78,-85,-92,-92,-91
230,-77,-86,-92,-92,-90
231,-77,-87,-92,-91,-90
232,-77,-87,-92,-91,-92
233,-77,-87,-92,-91,-91
234,-77,-86,-92,-92,-90
235,-77,-86,-91,-92,-89
236,-77,-87,-90,-92,-90
237,-78,-87,-90,-92,-90
