Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
0,-81,-89,-94,-98,0
1,-81,-88,-93,,0
2,-82,-88,-92,,0
3,-82,-88,-93,,0
4,-82,-88,-93,,0
5,-82,-87,-92,,0
6,-82,-87,-92,,0
7,-82,-87,-93,,0
8,-82,-87,-92,,0
9,-82,-87,-92,,0
10,-83,-88,,,0
11,-83,-88,-91,,0
12,-82,-89,-91,,0
13,-83,-88,-91,,0
14,-83,-88,-91,,0
15,-83,-88,-92,,0
16,-82,-88,,,0
17,-82,-88,,,0
18,-82,-88,-93,,0
19,-82,-88,-92,-95,0
20,-82,-88,-91,,0
21,-83,-87,-91,-94,0
22,-83,-87,-91,,0
23,-83,-88,-91,-93,0
24,-82,-88,-92,,0
25,-83,-89,-92,,0
26,-83,-89,-92,,0
27,-83,-89,-92,,0
28,-83,-88,-93,,0
29,-83,-88,-92,,0
30,-82,-88,-91,,0
31,-83,-88,-91,,0
32,-82,-88,-91,,0
33,-82,-88,,,0
34,-83,-88,-92,,0
35,-83,-88,-92,,0
36,-83,-88,-92,,0
37,-83,-88,-92,,0
38,-83,-88,-92,,0
39,-82,-87,-92,,0
40,-82,-88,-92,,0
41,-82,-88,-92,,0
42,-82,-88,-92,,0
43,-82,-89,,,0
44,-82,-88,,,0
45,-81,-88,,,0
46,-82,-88,-92,,0
47,-83,-89,,,0
48,-83,-89,,,0
49,-82,-89,,,0
50,-83,-89,,,0
51,-82,-88,,,0
52,-82,-88,,,0
53,-83,-89,-96,,0
54,-83,-89,-95,,0
55,-83,-89,-95,,0
56,-83,-90,,,0
57,-83,-90,-95,,0
58,-83,-91,-94,,0
59,-84,-90,-94,-89,0
60,-84,-90,-92,-89,0
61,-84,-90,,-89,0
62,-84,-89,-93,-88,0
63,-83,-89,,-88,0
64,-84,-88,-92,-89,0
65,-84,-88,,-89,0
66,-83,-88,-93,-89,0
67,-83,-89,,-90,0
68,-83,-88,,-90,0
69,-84,-88,,-89,0
70,-84,-89,,-90,0
71,-83,-88,-95,-90,0
72,-83,-87,,-90,0
73,-83,-87,,-89,0
74,-83,-88,-94,-90,0
75,-83,-88,-93,-91,0
76,-83,-88,-93,,0
77,-83,-88,-92,,0
78,-83,-89,-91,-91,0
79,-83,-89,,,0
80,-83,-89,-92,,0
81,-83,-89,,,0
82,-83,-88,,,0
83,-83,-87,,,0
84,-83,-88,-91,,0
85,-83,-87,-92,-93,0
86,-81,-87,-92,,0
87,-81,-88,-91,-93,0
88,-80,-88,-92,-94,0
89,-80,-88,-93,-95,0
90,-80,-88,-94,-94,0
91,-80,-88,-93,-95,0
92,-79,-87,-93,-95,0
93,-80,-87,,-93,0
94,-80,-87,-95,-93,0
95,-81,-88,-94,,0
96,-81,-88,,-95,0
97,-81,-88,-93,-94,0
98,-81,-88,-91,-93,0
99,-81,-88,-91,,0
100,-80,-87,-92,-93,0
101,-80,-87,-92,,0
102,-80,-87,-91,,0
103,-80,-88,-91,,0
104,-81,-87,-91,,0
105,-80,-87,,,0
106,-80,-87,-92,,0
107,-80,-89,-92,,0
108,-80,-89,,,0
109,-80,-89,-91,,0
110,-80,-89,-92,-96,0
111,-80,-89,-92,,0
112,-80,-88,-92,,0
113,-80,-88,-92,,0
114,-80,-88,,,0
115,-80,-88,,,0
116,-80,-88,-92,-95,0
117,-80,-88,-93,,0
118,-80,-88,-94,,0
119,-80,-89,-94,-94,0
120,-80,-88,-93,-95,0
121,-80,-88,,-95,0
122,-80,-88,,,0
123,-80,-88,,,0
124,-80,-88,,,0
125,-80,-88,,,0
126,-80,-89,-90,,0
127,-80,-89,-90,,0
128,-80,-89,-90,,0
129,-80,-88,-90,-95,0
130,-80,-88,,-94,0
131,-80,-88,,-95,0
132,-79,-88,,-95,0
133,-79,-88,-91,,0
134,-79,-88,-91,,0
135,-80,-88,-91,,0
136,-80,-89,-90,-96,0
137,-80,-88,-92,,0
138,-80,-88,,,0
139,-80,-88,,-97,0
140,-81,-89,-92,-96,0
141,-80,-88,-92,-95,0
142,-80,-88,-92,-94,0
143,-80,-89,-93,-94,0
144,-80,-89,-93,-94,0
145,-80,-88,,,0
146,-80,-88,,,0
147,-79,-88,,,0
148,-79,-89,,,0
149,-80,-89,-92,,0
150,-80,-88,-93,,0
151,-80,-88,-92,-98,0
152,-80,-88,,-97,0
153,-80,-87,-92,,0
154,-80,-87,-92,-96,0
155,-80,-87,-91,-95,0
156,-80,-88,-91,-95,0
157,-80,-88,-91,,0
158,-80,-88,-92,-95,0
159,-80,-88,,-96,0
160,-80,-88,,,0
161,-80,-88,-93,,0
162,-80,-90,-92,,0
163,-80,-90,-92,,0
164,-80,-89,,-94,0
165,-80,-89,,-96,0
166,-80,-88,-93,,0
167,-80,-88,-93,,0
168,-80,-88,-93,-97,0
169,-80,-89,-93,-96,0
170,-80,-88,-94,,0
171,-80,-88,-93,,0
172,-80,-88,-94,,0
173,-80,-88,-92,,0
174,-80,-88,,-96,0
175,-80,-88,-92,-95,0
176,-81,-88,-93,-95,0
177,-80,-89,-93,,0
178,-80,-89,,,0
179,-80,-89,,-95,0
