Scan No,0.5m,1.0m,1.5m,2.0m,2.5m
0,-72,-78,-79,-83,-84
1,-71,-78,-78,-83,-84
2,-71,-78,-78,-85,-85
3,-71,-77,-78,-84,-84
4,-71,-77,-78,-85,-84
5,-70,-78,-79,-85,-83
6,-71,-78,-79,-85,-83
7,-71,-78,-78,-86,-84
8,-71,-77,-78,-86,-84
9,-71,-77,-78,-86,-84
10,-72,-77,-78,-85,-84
11,-72,-77,-78,-85,-84
12,-71,-77,-79,-86,-84
13,-71,-76,-79,-85,-84
14,-70,-76,-79,-84,-85
15,-70,-76,-79,-84,-84
16,-70,-77,-79,-85,-84
17,-70,-77,-79,-84,-84
18,-71,-77,-79,-84,-85
19,-71,-77,-79,-84,-84
20,-71,-77,-79,-84,-84
21,-71,-76,-79,-85,-84
22,-71,-76,-79,-85,-85
23,-70,-77,-78,-84,-85
24,-71,-77,-79,-84,-84
25,-71,-77,-79,-84,-84
26,-71,-77,-78,-84,-84
27,-72,-76,-78,-84,-85
28,-71,-77,-78,-84,-85
29,-71,-77,-78,-85,-84
30,-71,-77,-79,-84,-84
31,-70,-77,-78,-84,-85
32,-70,-77,-78,-84,-85
33,-71,-76,-78,-84,-85
34,-72,-76,-79,-84,-85
35,-72,-76,-79,-84,-84
36,-71,-77,-79,-84,-84
37,-71,-77,-79,-84,-84
38,-71,-77,-80,-84,-84
39,-71,-77,-80,-85,-85
40,-71,-77,-79,-84,-84
41,-71,-76,-79,-84,-84
42,-71,-76,-79,-84,-84
43,-72,-77,-80,-84,-84
44,-72,-77,-80,-85,-83
45,-72,-77,-79,-84,-84
46,-72,-77,-79,-84,-85
47,-72,-77,-79,-84,-85
48,-71,-77,-79,-84,-85
49,-71,-77,-80,-84,-84
50,-72,-78,-79,-84,-84
51,-72,-77,-79,-84,-83
52,-72,-76,-79,-85,-83
53,-72,-77,-79,-85,-83
54,-72,-77,-79,-86,-83
55,-72,-77,-79,-85,-83
56,-72,-77,-78,-86,-84
57,-72,-77,-78,-86,-85
58,-72,-78,-78,-85,-84
59,-72,-77,-79,-84,-83
60,-72,-77,-79,-84,-83
61,-71,-78,-79,-84,-83
62,-72,-78,-79,-85,-84
63,-71,-78,-79,-85,-84
64,-72,-77,-79,-84,-84
65,-71,-77,-79,-85,-84
66,-71,-77,-79,-86,-84
67,-71,-77,-79,-85,-84
68,-71,-77,-79,-85,-84
69,-71,-77,-78,-85,-84
70,-70,-77,-78,-85,-84
71,-71,-77,-78,-85,-84
72,-71,-78,-78,-85,-84
73,-71,-78,-78,-85,-84
74,-71,-78,-79,-85,-84
75,-71,-77,-78,-85,-85
76,-71,-77,-78,-84,-85
77,-70,-77,-78,-84,-84
78,-71,-77,-78,-84,-84
79,-71,-77,-78,-84,-84
80,-71,-76,-78,-84,-84
81,-71,-77,-78,-84,-84
82,-71,-77,-78,-85,-85
83,-71,-77,-79,-84,-85
84,-71,-76,-79,-84,-84
85,-72,-76,-79,-84,-84
86,-72,-76,-85,-84,-84
87,-72,-77,-83,-84,-84
88,-71,-77,-81,-84,-83
89,-71,-77,-80,-84,-83
90,-71,-77,-80,-85,-83
91,-72,-77,-79,-85,-84
92,-71,-77,-78,-85,-84
93,-71,-78,-79,-85,-85
94,-71,-78,-79,-85,-85
95,-72,-77,-78,-85,-84
96,-72,-77,-78,-85,-85
97,-71,-78,-78,-85,-85
98,-71,-78,-78,-84,-84
99,-71,-78,-78,-85,-83
100,-71,-78,-78,-85,-84
101,-71,-78,-78,-84,-84
102,-71,-78,-78,-84,-84
103,-71,-78,-78,-84,-84
104,-71,-78,-78,-84,-84
105,-70,-78,-78,-84,-83
106,-70,-78,-79,-85,-84
107,-70,-78,-79,-85,-84
108,-71,-77,-79,-84,-84
109,-70,-78,-78,-84,-84
110,-70,-77,-79,-84,-84
111,-70,-77,-79,-86,-85
112,-70,-77,-79,-85,-85
113,-69,-77,-79,-86,-84
114,-70,-77,-79,-86,-84
115,-71,-77,-80,-85,-84
116,-70,-77,-80,-85,-85
117,-71,-77,-79,-84,-84
118,-71,-77,-79,-84,-84
119,-71,-78,-78,-86,-84
120,-71,-77,-78,-85,-84
121,-72,-77,-79,-85,-84
122,-72,-77,-78,-85,-85
123,-72,-78,-78,-86,-84
124,-72,-77,-78,-86,-85
125,-72,-77,-78,-85,-84
126,-72,-77,-78,-85,-84
127,-72,-77,-78,-85,-84
128,-72,-77,-78,-84,-84
129,-72,-77,-78,-84,-83
130,-71,-78,-78,-84,-84
131,-71,-78,-78,-84,-84
132,-70,-78,-78,-84,-84
133,-70,-77,-78,-84,-83
134,-70,-77,-78,-86,-83
135,-71,-77,-78,-85,-83
136,-71,-77,-78,-85,-84
137,-71,-77,-78,-84,-84
138,-71,-77,-78,-84,-84
139,-71,-77,-78,-84,-84
140,-71,-77,-78,-84,-84
141,-71,-78,-77,-86,-84
142,-72,-78,-78,-86,-84
143,-72,-78,-78,-87,-84
144,-72,-77,-79,-86,-84
145,-72,-77,-79,-85,-85
146,-71,-78,-79,-84,-85
147,-71,-78,-79,-84,-85
148,-72,-78,-79,-85,-84
149,-72,-78,-79,-85,-84
150,-72,-77,-79,-85,-83
151,-72,-77,-79,-85,-83
152,-71,-77,-79,-86,-83
153,-70,-77,-79,-85,-84
154,-71,-77,-79,-85,-85
155,-71,-77,-79,-84,-84
156,-72,-77,-80,-84,-84
157,-72,-77,-79,-84,-83
158,-71,-76,-78,-84,-84
159,-72,-77,-79,-84,-84
160,-71,-77,-79,-84,-85
161,-71,-78,-79,-85,-86
162,-71,-77,-79,-85,-86
163,-71,-78,-78,-85,-84
164,-71,-77,-78,-86,-84
165,-71,-77,-78,-87,-85
166,-71,-77,-78,-86,-84
167,-72,-78,-78,-85,-84
168,-71,-78,-78,-85,-83
169,-71,-77,-78,-87,-83
170,-71,-78,-78,-88,-84
171,-71,-77,-78,-89,-83
172,-71,-77,-78,-87,-83
173,-71,-77,-79,-87,-83
174,-71,-77,-78,-86,-84
175,-71,-77,-78,-86,-84
176,-71,-76,-78,-86,-83
177,-71,-77,-79,-86,-84
178,-71,-77,-79,-85,-83
179,-71,-77,-78,-85,-83
180,-71,-77,-78,-85,-83
181,-71,-77,-78,-86,-83
182,-72,-77,-79,-85,-83
183,-71,-77,-78,-85,-83
184,-71,-77,-78,-86,-84
185,-72,-77,-79,-85,-84
186,-71,-78,-78,-86,-84
187,-70,-77,-77,-85,-84
188,-70,-77,-77,-84,-85
189,-70,-78,-77,-86,-85
190,-70,-77,-78,-85,-85
191,-70,-77,-78,-86,-85
192,-71,-77,-78,-86,-85
193,-71,-77,-78,-86,-85
