"Timestamp","I understand that my participation is voluntary and that I am free to withdraw at any time, without giving a reason and without cost. I voluntarily agree to take part in this survey.","Would you consider yourself tech-literate (i.e. comfortable using technology and understanding technical terms such as IP address)?","Given the project context, what do you think an ""interaction"" would be? (If unsure just type ""unsure"")","Given the above symbols and the project context, what do you think the tick symbol represents?","Given the above symbols and the project context, what do you think the exclamation symbol represents?","The purpose of this page is clear","What do you think the scan button does?","It is clear what happens when the connect button is clicked without a selected device from the scan list","Any further comments on this page?","The purpose of this page is clear","Do you know what a device mac address is?","The total interactions, and interactions since connection are useful metrics","It is clear that the ""clear data"" button only clears data for the currently connected device","It is clear what the rename button does","It is clear what the export data button is doing","Any further comments on this page?","The purpose of this page is clear","What do you think the app does when changing settings while not connected to a device?","It is clear why some components on the page were initially hidden","Any further comments on this page?","The purpose of this graph is clear","Do you understand what changed in the graph when a different device was chosen?","If yes or maybe to the above question, what do you think changed?","What do you think the x-axis (left-right) represents in this graph?","What do you think the y-axis (bottom-top) represents in this graph?","The graph gave clear information on the interactions","Would this graph change how you interact with others?","Any further comments on this graph?","The purpose of these graphs are clear","The meaning of the categories in the duration graph are clear","The meaning of the categories in the distance graph are clear","The colours used for the categories are visually distinct","Would these graphs change how you interact with others?","Any further comments on these graphs?","The purpose of this graph is clear","What do you think the x-axis (left-right) represents?","What do you think the y-axis (bottom-top) represents?","What do you think the change in line colour means?(If it doesn't seem relevant put N/A)","Compare the two above images. Which do you prefer?","Compare the two above images. Which do you prefer?","Would this graph change the way you interact with others?","Any further comments on this graph?","What do you think the above video is showing?","Now given this second video, what do you think the device is doing?","Give the above image, what do you think the number represents?","If seeing this number increase what would you assume?","If seeing this number decrease what would you assume?","Given a device like this would you be comfortable using it within a workplace / learning environment?","Are there any improvements or changes you would like to see on the app?","Are there any improvements or changes you would like to see on the device?"
"2021/01/28 11:37:42 AM GMT","Yes","Yes","If i walked past someone who was also wearing one of the wearable devices but was closer than the given distance limit then it would alert me that i have not adhered to social distancing","Safe distance","Too close","4","Scans if you have been close to someone","4","Its not entirely clear what that section saying 'no sticker' is, I wouldnt be sure what to put in that section or what it is for","5","No","2","4","5","5","I dont necessarily think total interactions is useful, i assume that is just everyone you have walked past safely or unsafely distanced. I dont know if i would look at the number of people total i have gone past, i would only really be interested in the people that have been too close","5","Sets the setup that will be used for when a device is connected","2","I didnt see that components had changed?","5","Yes","Which device was being analysed","Days of the week that has just passed","Number of people that have been too close a distance","5","Yes","If i saw i was getting a really high number of unsafe interaction i would be more conscious when going about and try to stay further apart to see that number go down","5","5","5","4","Yes","i would be more conscious of my actions if i saw they were worrying","5","days","how many interactions","That you are above a threshold of interactions that are safe and that it is warning you to be careful","B","A","Unsure","","the device giving info","alerting when someone is too close","distance","Getting close to too many people","That i am safely interacting with people","Yes","maybe descriptions of what each section does, or a help page on the app for first time users","no the device looks good"
"2021/01/28 11:45:37 AM GMT","Yes","Yes","Getting within a given distance of another user that is also using the app / device","Correct or safe","Alert or caution ","4","Scans for available wearable devices to connect to ","2","Could possibly add a warning that you can't connect to a device that hasn't been selected ","5","Yes","5","5","5","4","Could possibly give information on how the data is exported and where?

Is the total interactions the number of times you connect to your device i.e. the app connecting to your wearable watch? Maybe 'connections' would be a better term as interactions gives the idea that you are getting within the distance of this device","5","Stores these setting temporarily until they are synced, so sent to a device ","5","The hidden sections were very useful to remind the user to connect a device","5","Yes","The number of interactions per device so if one device is for someone that works in town versus another device used for someone that works in home. So they would have different numbers of weekly interactions. ","Days of the week","Number of interactions per day ","5","Yes","Might be nice to swipe to a previous week to compare ","4","4","3","5","Yes","Possibly add the details to each colour wheel, instead of having to look at the key below remember the colour then look up. A little thing but it could help. May also be useful to give the average time spent near someone or distance from someone ","4","Dates","Number of iterations per day ","Red is a strong increase / high number of interactions. Blue is opposite  ","B","B","Yes","Possibly display more dates at the bottom and have the ability to zoom in and out of different date ranges  ","Scanning or trying to connect to an app / device","When you are within range of another device ","Interactions during the current day","You have had another interaction","The day had reset","Unsure","Possible custom date ranges instead of just one week.
Being able to view past weekly data on number of interactions.
 ","Not sure if it does it by the video but if the device had haptic feedback when within range that could be useful.
A possible timer on device for the number of seconds within the distance of another user."
"2021/01/28 11:45:40 AM GMT","Yes","No","unsure","When you're a safe distance from others","When you're too close to others","4","Looks for nearby people","2","","3","No","3","2","4","2","","4","Saves them","4","","5","Yes","The information the graph was drawing from","Days","""Interactions""","4","Unsure","","3","4","4","5","No","","4","Time","""Interactions"" per some time","Dangerous once red","A","A","Yes","","Device connecting to phone","Telling the person when it's too close","How many people it's been near","Passed another person","Unsure","Yes","",""
"2021/01/28 11:46:12 AM GMT","Yes","Yes","Being within two meters of someone for more than 30s","Everything is ok nothing is going wrong. I'm not a risk of the rona.","Ahh rona get away from me.","5","Scans for devices then creates a list of them for the user.","3","Ehmm. The above question is a list of radio buttons not a text box.","5","Yes","4","5","5","4","We don't know what format will be exported before it is exported.","4","Nothing.","5","I didn't notice that the component was hidden until I saw the question above. The end user might not either and this makes the page confusing.","5","Yes","The data shown on the graph corresponds with the data from the device selected ","The days of the week","The number of interactions","5","No","I don't think seeing this graph would change how I interacted since the number of interactions is something I don't necessarily have a scale for. I don't know how many interactions I had pre-covid or how many is unreasonable.","5","3","3","5","Yes","Possibly since I know that 2m is the guidance I may keep a larger distance. Although this would also rely on me opening and looking at the app frequently which I'm not sure I would do.","5","Tim","Interactions","Blue means ok, RED means danger","A","A","Yes","Same as the last graph this makes it abundantly obvious when I'm doing something wrong. But like the last graph I don't know if I would open the app.","The device?","Showing you when another device is  close","Number of interactions today?","I have come to close to someone","I don't know. I would probably be confused. Unless it was at a boundary. I might think it's a rolling average.","Yes","Notifications when I get too close to act as a reminder.","Tell me what the number means. Give it a nice box or make it like a lanyard or something. Maybe it should buzz when someone gets too close."
"2021/01/28 12:49:43 PM GMT","Yes","Yes","within 2 metres of another device","you are at a safe distance","you are not within a safe distance","3","scans for wearable devices","2","","5","No","5","3","5","3","exporting to my storage? cloud storage? chosen storage?","5","waits to be synced ","3","If I wouldn't know where the update device button was, I might not have known I needed to do that after connecting.","5","Yes","the device","day type","number of interactions","5","Unsure","I wouldn't know if the graph would affect my behaviour without knowing a safe, necessary, or recommended number of interactions. Although seeing a week to week comparison would be interesting as well","4","2","2","4","Yes","the percentages were a bit confusing. It might make more sense to have the measurements closer to their slices so they're easier to match and understand","5","date","no. of interactions","blue fine, red worse","B","A","Yes","","0?","showing it is tallying an interaction","number of interactions since synced","there has been interaction","I have disconnected the device, or time-to-death","Yes","too much water 5/10","wouldn't look out of place tied to someones leg. probably could break a window."
"2021/01/28 1:29:00 PM GMT","Yes","No","when you walk past or with another person, the two devices would detect each other as an interaction","safe distance has been adhered to","another device within two metres - safe distance not adhered to","4","tries to find a device nearby","4","the ""sticker"" and ""no sticker"" names in the video made it confusing the first time round, but the actual scanning and selecting device all made sense","5","No","4","4","5","2","","5","changes the distance that it is expecting to flag as safe/unsafe before reconnecting to device","4","","5","Yes","it first displayed the interactions from ""no sticker"", then showed ""test device"" which had more interactions during the week. the graph changes to display the interactions from whichever device has been selected","days of the week","number of interactions","5","No","I think it would change my behaviour if it displayed unsafe interactions rather than all interactions","5","5","5","5","Yes","this is more useful for changing how i would behave. I think displaying distance in m rather than cm might be more useful at a glance since we are used to the guidance being 1m or 2m in different scenarios. ","2","time","number of interactions","crossing some kind of threshold number of interactions? ","B","A","Unsure","I would need to understand the red/blue colours better, but the graph does seem like it could be interesting when restrictions change ","the alert when another device comes too close","alerting you when the device comes too close, and until it has gone far enough away","number of interactions currently occurring","more devices are nearby","fewer people are nearby","Unsure","a legend for the graphs (maybe not displayed all the time but an option to show it)","I think the device could be a bit annoying/distracting if you were in a workplace (perhaps with screens up) where people were constantly setting it off. It might be better if it only alerted you after a threshold time limit had been reached to block out those very fleeting interactions - say someone lingers within your 2m for more than __ seconds, or comes within 1.5m (?) when they should be at 2m. That way, when someone passes by quickly at 1.75m you would not be alerted, but if someone comes closer or lingers too long it would let you know.

There should also be provision made for people who have sensitivity to lights or flashing. Maybe having the alerts come from your phone instead so individuals can decide how to be alerted and perhaps even have less disruptive settings for indoor compared to outdoor? I worry that all the flashing lights could be very difficult to handle."
"2021/01/28 1:29:31 PM GMT","Yes","Yes","An interaction would be when two people, both using devices from he project get with in two meters of each other.","I would imagine the left Tick represents when social distancing is in effect and no one else also using a device from the project is with in two meters.","The exlcamation mark is to warn that another person also with a device is within two meters and social distancing has been broken","4","Check to see if ther are any other devices near by.","5","No.","5","Unsure","4","3","5","5","","5","It would save the changed settings as a default for when it next connects to a device.","4","","4","Yes","A different device was selected with different data on it.","The Days of the week.","The number of interations with other device users.","4","Yes","","5","4","4","5","Yes","","4","The passing of time.","The number of interactions","Probably to represent the increasing chance/danger of infection.","B","A","Yes","","A prototype for the devices used in the project, that is currently charging.","I think the devices are lighting up to warn users that another device is too close to them.","I think the 12 represents the number of total interactions so far for either the day or week.","That i've been too close to someone with another device","I would now assume that the device shows how close other devices are.","Yes","Maybe add an optional tutorial incase users don't understand all of the features.",""
"2021/01/28 1:32:35 PM GMT","Yes","Yes","unsure","Successful ","Error","4","scan for device","4","","4","Yes","3","2","5","5","","4","will only update on app not device","3","","4","Yes","it showed the data of the other device","day of the week","number of interactions ","5","No","","3","4","3","2","No","","5","date of interaction ","how many interactions ","peak of interaction","Both are the same","A","No","","alert that someone is near by. Can't really read it","being alerted that someone is too close","amount of interactions","someone was close to me","Someone died","Unsure","dark mode","Make a cleaner looking device"
"2021/01/28 1:35:26 PM GMT","Yes","Yes","When the sensor detects another device","There was an interaction between devices but the distance was greater than 2m","There was an interaction between devices and the distance was less than 2m","5","Searches for available devices to pair to","2","Text could maybe do with being bigger (i.e. the device names/menu)","5","Yes","4","3","5","3","","5","Nothing","4","It might be useful to always have an indicator on the app screen of a device being connected, to avoid too much switching of tabs to check.","5","Yes","Displaying results collected by a different device","Different days","Number of interactions on that day","4","Unsure","If interactions are split into safe distance and unsafe distance etc. then it may be useful to display that","5","4","4","4","Unsure","Keys are quite difficult to read so could be bigger","4","Day/date","Number of interactions","Concentration of interactions over a specific time period maybe","B","B","Unsure","Horizontal lines would be useful for readability","The bar shows when it detects another sensor","The bar shows when another device is detected and stays until the other device leaves the set distance","The number of interactions of the day/since the device was last synced with the app","There has been a new interaction","The counter has been reset","Yes","Larger, clearer text and an indicator that the device is connected to the app. Possibly a quick how to use guide.","Possibly clearer indication of what the number means"
"2021/01/28 4:57:47 PM GMT","Yes","Yes","when the device detects another","user is social distancing","user has had an interaction","5","scans for devices to connect to","4","no error when you try click the connect button without a selected device","5","Yes","5","5","5","3","not sure exactly what data is exported and where it has gone","3","syncs the settings next time it connects","5","not sure what the different profiles mean or what the distance is measured in","5","Maybe","graph changed to data collected by that device","day of the week","number of interactions","5","No","note sure why the days on the graph are different between devices, assumed the day furthest right would be the current day","3","2","2","4","No","graphs seem hard to read, the exact percentages seem less important than what each colour represents. currently you need to constantly look back and forth between the graph and key to know what it is telling you. the dark green possibly also doesn't contrast as well with the black text as the other colours","5","date of interaction","number of interactions","threshold for too many interactions","B","A","Yes","","no idea","showing an interaction","current number of interactions","more interactions happened","that i was wrong","Yes","dark mode",""
