"sender","receiver","start_time","end_time"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991409721"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991413185","1612991413185"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991422538","1612991422538"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991427002","1612991432079"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991439691","1612991440720"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991464982","1612991464982"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991472540","1612991472540"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991509535"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991512815","1612991518305"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991773855"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991778356","1612991778356"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991785786","1612991785786"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991791231","1612991792355"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991841494"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991949175","1612991957455"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991960871","1612991962049"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612992016543","1612992034716"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993150673","1612993153604"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993195175","1612993218260"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993281849","1612993293948"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993322438","1612993336905"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993379102","1612993388215"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993421705","1612993431027"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993730066","1612993730066"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993772657","1612993775811"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993779141","1612993779141"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993784679","1612993785622"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993801090","1612993815680"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993819054","1612993819054"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993831518","1612993832547"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993840966","1612993842279"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993849521","1612993859597"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993881026","1612993883446"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993917058","1612993929532"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993958152","1612993960173"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612993969706","1612993980741"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612994057549","1612994072945"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612994112456","1612994120603"
