"sender_ref","receiver_ref","start_time_ref","timestamp","value","est_distance","measured_power","environment_var"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991399547","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991400721","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991401845","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991402745","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991403645","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991404725","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991405665","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991406755","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991407698","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991409002","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991399547","1612991409721","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991413185","1612991413185","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991422538","1612991422538","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991427002","1612991427002","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991427002","1612991428079","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991427002","1612991429161","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991427002","1612991430374","-81","1.4125376","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991427002","1612991431220","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991427002","1612991432079","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991439691","1612991439691","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991439691","1612991440720","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991464982","1612991464982","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991472540","1612991472540","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991477887","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991480322","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991481445","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991482659","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991483466","-76","0.7943282","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991484469","-77","0.8912509","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991485499","-77","0.8912509","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991486571","-76","0.7943282","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991487434","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991488464","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991489720","-77","0.8912509","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991490443","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991491485","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991492514","-77","0.8912509","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991493506","-76","0.7943282","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991494504","-75","0.70794576","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991495529","-77","0.8912509","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991496565","-76","0.7943282","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991497516","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991498545","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991499540","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991500702","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991501522","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991502602","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991503947","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991506877","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991477887","1612991509535","-81","1.4125376","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991512815","1612991512815","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991512815","1612991513849","-81","1.4125376","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991512815","1612991514931","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991512815","1612991517314","-83","1.7782794","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991512815","1612991518305","-82","1.5848932","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991760852","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991761888","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991762878","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991763909","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991764852","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991765925","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991766963","-77","0.8912509","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991767987","-76","0.7943282","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991768843","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991769880","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991770923","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991771874","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991772908","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991760852","1612991773855","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991778356","1612991778356","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991785786","1612991785786","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991791231","1612991791231","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991791231","1612991792355","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991824748","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991827133","-80","1.2589254","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991828348","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991829293","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991830235","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991831416","-79","1.1220185","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991832405","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991833254","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991834430","-78","1.0","-78","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612991824748","1612991835324","-79","1.1220185","-78","2"
