"sender_ref","receiver_ref","start_time_ref","timestamp","value","est_distance","measured_power","environment_var"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900723630","-75","0.25118864","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900724641","-74","0.22387211","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900725674","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900726670","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900727598","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900728614","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900729755","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900730767","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900731742","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900732682","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900733682","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900734748","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900735773","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900736699","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900737714","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900738670","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900739677","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900740729","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900741708","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900742886","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900743805","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900744750","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900745864","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900746776","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900747734","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900748740","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900749742","-74","0.22387211","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900750793","-74","0.22387211","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900751793","-74","0.22387211","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900752767","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900753759","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900754899","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900755798","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900756874","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900757894","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900758876","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900759834","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900760814","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900761843","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900762871","-73","0.19952624","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900763833","-74","0.22387211","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900764805","-74","0.22387211","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900765887","-74","0.22387211","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900766827","-74","0.22387211","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612900723630","1612900767849","-74","0.22387211","-87","2"
