"sender_ref","receiver_ref","start_time_ref","timestamp","value","est_distance","measured_power","environment_var"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782829788","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782830775","-78","0.7943282","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782831902","-76","0.68129206","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782833057","-75","0.63095737","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782834054","-77","0.73564225","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782835198","-78","0.7943282","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782836297","-79","0.8576959","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782837333","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782838533","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782839528","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782840561","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782841727","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782842842","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782843956","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782844996","-78","0.7943282","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782846112","-79","0.8576959","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782847172","-79","0.8576959","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782848324","-77","0.73564225","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782849366","-78","0.7943282","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782850417","-79","0.8576959","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782851501","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782852636","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782853738","-78","0.7943282","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782854798","-79","0.8576959","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782855892","-77","0.73564225","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782856955","-78","0.7943282","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782858091","-79","0.8576959","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782859206","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782860256","-80","0.92611873","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782861288","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782862430","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782863579","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782864604","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782865686","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782866850","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782867839","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782869011","-78","0.7943282","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782870115","-79","0.8576959","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782871242","-76","0.68129206","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782872252","-75","0.63095737","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782873337","-74","0.5843414","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612782829788","1612782874383","-76","0.68129206","-81","3"
