"sender_ref","receiver_ref","start_time_ref","timestamp","value","est_distance","measured_power","environment_var"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737770037","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737770444","-81","1.0","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737771575","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737772611","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737773734","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737774821","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737775959","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737777000","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737778120","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737779208","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737780414","-83","1.1659144","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737781447","-83","1.1659144","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737782619","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737783536","-83","1.1659144","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737784673","-83","1.1659144","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737785712","-83","1.1659144","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737786801","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737787842","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737788969","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737790047","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737791144","-82","1.0797752","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737792284","-83","1.1659144","-81","3"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612737770037","1612737793356","-83","1.1659144","-81","3"
