"sender_ref","receiver_ref","start_time_ref","timestamp","value","est_distance","measured_power","environment_var"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904294555","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904295315","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904296310","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904297302","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904298332","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904299331","-70","0.14125375","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904300373","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904301574","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904302394","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904303512","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904304383","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904305346","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904306383","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904307466","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904308433","-70","0.14125375","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904309374","-70","0.14125375","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904310407","-70","0.14125375","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904311443","-70","0.14125375","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904312403","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904313399","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904314383","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904315414","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904316467","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904317448","-70","0.14125375","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904318383","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904319455","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904320431","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904321422","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904322424","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904323405","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904324466","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904325457","-70","0.14125375","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904326428","-70","0.14125375","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904327475","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904328426","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904329468","-72","0.17782794","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904330456","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904331636","-71","0.15848932","-87","2"
"B4:E6:2D:8E:23:0B","30:AE:A4:55:E1:1E","1612904294555","1612904332507","-71","0.15848932","-87","2"
