Device A,Device B
1.7782794,1.7782794
1.5848932,1.5848932
1.5848932,1.4125376
1.5848932,1.7782794
1.2589254,1.1220185
1.2589254,1.2589254
1.2589254,1.2589254
1.1220185,1.2589254
0.8912509,0.8912509
0.8912509,0.7943282
0.8912509,0.70794576
0.8912509,0.8912509
1.7782794,1.5848932
1.7782794,1.5848932
1.7782794,1.7782794
1.7782794,1.5848932
1.2589254,1.0
1.2589254,0.8912509
1.2589254,1.1220185
1.1220185,0.8912509
0.70794576,0.7943282
0.7943282,0.8912509
0.70794576,0.63095737
0.7943282,0.8912509
1.5848932,1.5848932
1.7782794,1.7782794
1.7782794,1.7782794
1.7782794,1.7782794
1.2589254,1.2589254
1.2589254,1.2589254
1.2589254,1.2589254
1.2589254,1.2589254
0.8912509,0.8912509
0.8912509,0.7943282
0.8912509,0.7943282
0.8912509,0.8912509
